num_ch,num_ho,num_ty
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,2
112,1,2
113,1,2
114,1,2
115,1,2
116,1,2
117,1,2
118,1,2
119,1,2
120,1,2
121,1,3
122,1,3
123,1,3
124,1,3
125,1,3
126,1,3
127,1,3
128,1,3
129,1,3
130,1,3
131,2,1
132,2,1
133,2,1
134,2,1
135,2,1
136,2,1
137,2,1
138,2,1
139,2,1
140,2,1
141,2,2
142,2,2
143,2,2
144,2,2
145,2,2
146,2,2
147,2,2
148,2,2
149,2,2
150,2,2
151,2,3
152,2,3
153,2,3
154,2,3
155,2,3
156,2,3
157,2,3
158,2,3
159,2,3
160,2,3
161,3,1
162,3,1
163,3,1
164,3,1
165,3,1
166,3,1
167,3,1
168,3,1
169,3,1
170,3,1
171,3,2
172,3,2
173,3,2
174,3,2
175,3,2
176,3,2
177,3,2
178,3,2
179,3,2
180,3,2
181,3,3
182,3,3
183,3,3
184,3,3
185,3,3
186,3,3
187,3,3
188,3,3
189,3,3
190,3,3
191,4,1
192,4,1
193,4,1
194,4,1
195,4,1
196,4,1
197,4,1
198,4,1
199,4,1
200,4,1
201,4,2
202,4,2
203,4,2
204,4,2
205,4,2
206,4,2
207,4,2
208,4,2
209,4,2
210,4,2
211,4,3
212,4,3
213,4,3
214,4,3
215,4,3
216,4,3
217,4,3
218,4,3
219,4,3
220,4,3
221,5,1
222,5,1
223,5,1
224,5,1
225,5,1
226,5,1
227,5,1
228,5,1
229,5,1
230,5,1
231,5,2
232,5,2
233,5,2
234,5,2
235,5,2
236,5,2
237,5,2
238,5,2
239,5,2
240,5,2
241,5,3
242,5,3
243,5,3
244,5,3
245,5,3
246,5,3
247,5,3
248,5,3
249,5,3
250,5,3
